Date,Word,Clue,Difficulty
1/2/2012,LIRAS,Bygone Italian coins,EASY
1/2/2012,DREAR,"Gloomy, to a bard",EASY
1/2/2012,LMN,Trio between K and O,EASY
1/2/2012,UNDERTHECOUNTER,Secret or illegal,EASY
1/2/2012,REPO,"""___ Man"" (Emilio Estevez film)",EASY
1/2/2012,TORSO,Human trunk,EASY
1/2/2012,ASSN,"The second ""A"" in N.C.A.A.: Abbr.",EASY
1/2/2012,STYES,Eyelid inflammations,FAIR
1/2/2012,AHOY,Cry to a matey,EASY
1/2/2012,ADEAR,"""Please be ___ and help me""",EASY
1/2/2012,EATEN,All gone from one's plate,EASY
1/2/2012,SNIDE,"Not nice, as a comment",EASY
1/2/2012,LARA,"""___ Croft: Tomb Raider""",EASY
1/2/2012,EER,Suffix with puppet,FAIR
1/2/2012,ANDES,Peaks of Peru,EASY
1/2/2012,SALE,"""Prices slashed!"" event",EASY
1/2/2012,HIREE,One just put on the payroll,EASY
1/2/2012,NORSE,Like Odin and Thor,EASY
1/2/2012,OVERTHEHILL,"Elderly, so to speak",EASY
1/2/2012,LASH,Mascara coats it,EASY
1/2/2012,EFILE,Submit a tax return via computer,EASY
1/2/2012,UPS,FedEx competitor,EASY
1/2/2012,LANE,Bowler's assignment,FAIR
1/2/2012,ASKTO,Send an invitation for,EASY
1/2/2012,SPLIT,Remaining 7 and 10 pins in bowling,EASY
1/2/2012,SNERD,Mortimer voiced by Edgar Bergen,EASY
1/2/2012,CALF,Baby bovine,FAIR
1/2/2012,IRISH,Notre Dame's Fighting ___,EASY
1/2/2012,DENT,Fender ding,EASY
1/2/2012,REMNANTS,Fabric leftovers,EASY
1/2/2012,IRS,Form 1040 org.,EASY
1/2/2012,NIKES,Shoes with swooshes,EASY
1/2/2012,DROPS,Plummets,EASY
1/2/2012,EDGER,Lawn trimmer,EASY
1/2/2012,COHAN,"George M. ___, ""The Yankee Doodle Boy"" composer",EASY
1/2/2012,OUTRE,Unconventional and then some,EASY
1/2/2012,EMERY,Manicurist's file,FAIR
1/2/2012,REESE,Pee Wee of the 1940s-'50s Dodgers,EASY
1/2/2012,ANOS,Years in Mexico,EASY
1/2/2012,NOHIT,Like a pitcher's perfect game,FAIR
1/2/2012,IDA,Its capital is Boise: Abbr.,EASY
1/2/2012,AZT,AIDS treatment drug,EASY
1/2/2012,EEL,Reef wriggler,EASY
1/2/2012,SELFRELIANT,Not needing anyone's help,EASY
1/2/2012,LISLE,Smooth cotton fabric,EASY
1/2/2012,ETHER,Air up there,EASY
1/2/2012,HANS,Brinker on skates,EASY
1/2/2012,CATO,Ancient Rome's ___ the Elder,EASY
1/2/2012,ABC,Diane Sawyer's network,EASY
1/2/2012,SEA,"Aegean, e.g.",FAIR
1/2/2012,STROH,Old Detroit brewery name,EASY
1/2/2012,ELIHU,Statesman Root,MODERATE
1/9/2012,REPEL,Turn away,EASY
1/9/2012,QATAR,Doha is its capital,EASY
1/9/2012,SNOB,Better-than-you type,EASY
1/9/2012,INK,Tattoo fluid,EASY
1/9/2012,USS,Navy vessel initials,EASY
1/9/2012,SLIP,Faux pas,HARD
1/9/2012,AMSO,"""Are not!"" playground retort",EASY
1/9/2012,TORI,"Doughnut shapes, mathematically speaking",EASY
1/9/2012,DOZED,Slept lightly,EASY
1/9/2012,ERICS,Rockers Clapton and Burdon,EASY
1/9/2012,YEAR,Number after a ?? symbol,EASY
1/9/2012,CAT,Lynx or puma,EASY
1/9/2012,SPAIN,Barcelona's land,EASY
1/9/2012,WOLF,"""The Three Little Pigs"" antagonist",EASY
1/9/2012,WOES,Misfortunes,FAIR
